pointID;pointLat;pointLon;p2p_dist;osmWayID;osmWayType;int_ref;ref;way_name;operator;toll;nodeId;nodeLat;nodeLon;p2nodeDistance;comments
1;50.94878;1.87465;0;;;;;;;No;;;;;No toll objects found
2;50.94876;1.87468;3;;;;;;;No;;;;;No toll objects found
3;50.94871;1.87472;6;;;;;;;No;;;;;No toll objects found
4;50.94849;1.87481;25;;;;;;;No;;;;;No toll objects found
5;50.94749;1.87517;114;;;;;;;No;;;;;No toll objects found
6;50.94692;1.87537;64;;;;;;;No;;;;;No toll objects found
7;50.9465;1.87559;49;;;;;;;No;;;;;No toll objects found
8;50.9465;1.87559;0;;;;;;;No;;;;;No toll objects found
9;50.94657;1.87593;25;;;;;;;No;;;;;No toll objects found
10;50.94663;1.87626;24;;;;;;;No;;;;;No toll objects found
11;50.94666;1.87648;15;;;;;;;No;;;;;No toll objects found
12;50.94668;1.87657;6;;;;;;;No;;;;;No toll objects found
13;50.94671;1.87677;14;;;;;;;No;;;;;No toll objects found
14;50.94683;1.87754;55;;;;;;;No;;;;;No toll objects found
15;50.94693;1.87815;44;;;;;;;No;;;;;No toll objects found
16;50.94693;1.87815;0;;;;;;;No;;;;;No toll objects found
17;50.94601;1.87846;104;;;;;;;No;;;;;No toll objects found
18;50.94598;1.87847;3;;;;;;;No;;;;;No toll objects found
19;50.9459;1.8785;9;;;;;;;No;;;;;No toll objects found
20;50.94577;1.87851;14;;;;;;;No;;;;;No toll objects found
21;50.94517;1.87871;68;;;;;;;No;;;;;No toll objects found
22;50.94517;1.87871;0;;;;;;;No;;;;;No toll objects found
23;50.94486;1.87884;35;;;;;;;No;;;;;No toll objects found
24;50.94467;1.87891;21;;;;;;;No;;;;;No toll objects found
25;50.94446;1.87892;23;;;;;;;No;;;;;No toll objects found
26;50.94354;1.87895;102;;;;;;;No;;;;;No toll objects found
27;50.94321;1.87896;36;;;;;;;No;;;;;No toll objects found
28;50.94311;1.87896;11;;;;;;;No;;;;;No toll objects found
29;50.94304;1.87896;7;;;;;;;No;;;;;No toll objects found
30;50.94295;1.87895;10;;;;;;;No;;;;;No toll objects found
31;50.94286;1.87893;10;;;;;;;No;;;;;No toll objects found
32;50.94277;1.87891;10;;;;;;;No;;;;;No toll objects found
33;50.94269;1.87889;9;;;;;;;No;;;;;No toll objects found
34;50.94167;1.87855;115;;;;;;;No;;;;;No toll objects found
35;50.94096;1.87827;81;;;;;;;No;;;;;No toll objects found
36;50.94048;1.87809;54;;;;;;;No;;;;;No toll objects found
37;50.9404;1.87805;9;;;;;;;No;;;;;No toll objects found
38;50.94036;1.87802;4;;;;;;;No;;;;;No toll objects found
39;50.94034;1.878;2;;;;;;;No;;;;;No toll objects found
40;50.94032;1.87797;3;;;;;;;No;;;;;No toll objects found
41;50.9403;1.87793;3;;;;;;;No;;;;;No toll objects found
42;50.94026;1.87783;8;;;;;;;No;;;;;No toll objects found
43;50.94026;1.87783;0;;;;;;;No;;;;;No toll objects found
44;50.94026;1.87779;2;;;;;;;No;;;;;No toll objects found
45;50.94025;1.87775;3;;;;;;;No;;;;;No toll objects found
46;50.94024;1.87771;3;;;;;;;No;;;;;No toll objects found
47;50.94022;1.87768;3;;;;;;;No;;;;;No toll objects found
48;50.94021;1.87764;3;;;;;;;No;;;;;No toll objects found
49;50.94019;1.87761;3;;;;;;;No;;;;;No toll objects found
50;50.94017;1.87758;3;;;;;;;No;;;;;No toll objects found
51;50.94015;1.87756;2;;;;;;;No;;;;;No toll objects found
52;50.94012;1.87754;3;;;;;;;No;;;;;No toll objects found
53;50.9401;1.87752;2;;;;;;;No;;;;;No toll objects found
54;50.94007;1.87751;3;;;;;;;No;;;;;No toll objects found
55;50.94005;1.87751;2;;;;;;;No;;;;;No toll objects found
56;50.94002;1.87751;3;;;;;;;No;;;;;No toll objects found
57;50.93999;1.87751;3;;;;;;;No;;;;;No toll objects found
58;50.93997;1.87752;2;;;;;;;No;;;;;No toll objects found
59;50.93994;1.87754;3;;;;;;;No;;;;;No toll objects found
60;50.93992;1.87755;2;;;;;;;No;;;;;No toll objects found
61;50.93989;1.87758;3;;;;;;;No;;;;;No toll objects found
62;50.93987;1.8776;2;;;;;;;No;;;;;No toll objects found
63;50.93985;1.87763;3;;;;;;;No;;;;;No toll objects found
64;50.93984;1.87767;3;;;;;;;No;;;;;No toll objects found
65;50.93982;1.8777;3;;;;;;;No;;;;;No toll objects found
66;50.93981;1.87774;3;;;;;;;No;;;;;No toll objects found
67;50.9398;1.87778;3;;;;;;;No;;;;;No toll objects found
68;50.9398;1.87782;2;;;;;;;No;;;;;No toll objects found
69;50.93979;1.87786;3;;;;;;;No;;;;;No toll objects found
70;50.93979;1.87791;3;;;;;;;No;;;;;No toll objects found
71;50.9398;1.87795;3;;;;;;;No;;;;;No toll objects found
72;50.9398;1.87799;2;;;;;;;No;;;;;No toll objects found
73;50.93981;1.87803;3;;;;;;;No;;;;;No toll objects found
74;50.93983;1.87807;3;;;;;;;No;;;;;No toll objects found
75;50.93984;1.87811;3;;;;;;;No;;;;;No toll objects found
76;50.93984;1.87811;0;;;;;;;No;;;;;No toll objects found
77;50.93987;1.87819;6;;;;;;;No;;;;;No toll objects found
78;50.93988;1.87824;3;;;;;;;No;;;;;No toll objects found
79;50.93988;1.87828;2;;;;;;;No;;;;;No toll objects found
80;50.93988;1.87832;2;;;;;;;No;;;;;No toll objects found
81;50.93988;1.87834;1;;;;;;;No;;;;;No toll objects found
82;50.93988;1.87837;2;;;;;;;No;;;;;No toll objects found
83;50.93987;1.87844;5;;;;;;;No;;;;;No toll objects found
84;50.93985;1.87851;5;;;;;;;No;;;;;No toll objects found
85;50.93984;1.87857;4;;;;;;;No;;;;;No toll objects found
86;50.93982;1.87863;4;;;;;;;No;;;;;No toll objects found
87;50.93979;1.8787;5;;;;;;;No;;;;;No toll objects found
88;50.93977;1.87877;5;;;;;;;No;;;;;No toll objects found
89;50.93971;1.87889;10;;;;;;;No;;;;;No toll objects found
90;50.93966;1.879;9;;;;;;;No;;;;;No toll objects found
91;50.9395;1.87935;30;;;;;;;No;;;;;No toll objects found
92;50.93946;1.87943;7;;;;;;;No;;;;;No toll objects found
93;50.93931;1.87974;27;;;;;;;No;;;;;No toll objects found
94;50.93923;1.87993;16;;;;;;;No;;;;;No toll objects found
95;50.93918;1.88001;7;;;;;;;No;;;;;No toll objects found
96;50.93913;1.88013;10;;;;;;;No;;;;;No toll objects found
97;50.93911;1.88018;4;;;;;;;No;;;;;No toll objects found
98;50.93889;1.88062;39;;;;;;;No;;;;;No toll objects found
99;50.93886;1.88068;5;;;;;;;No;;;;;No toll objects found
100;50.93884;1.88072;3;;;;;;;No;;;;;No toll objects found
101;50.93879;1.88083;9;;;;;;;No;;;;;No toll objects found
102;50.93871;1.88099;14;;;;;;;No;;;;;No toll objects found
103;50.93862;1.88124;20;;;;;;;No;;;;;No toll objects found
104;50.93855;1.88139;13;;;;;;;No;;;;;No toll objects found
105;50.93833;1.88185;40;;;;;;;No;;;;;No toll objects found
106;50.93789;1.88277;81;;;;;;;No;;;;;No toll objects found
107;50.93786;1.88283;5;;;;;;;No;;;;;No toll objects found
108;50.93783;1.88289;5;;;;;;;No;;;;;No toll objects found
109;50.93764;1.88329;35;;;;;;;No;;;;;No toll objects found
110;50.93757;1.88343;12;;;;;;;No;;;;;No toll objects found
111;50.93753;1.88351;7;;;;;;;No;;;;;No toll objects found
112;50.9375;1.88359;6;;;;;;;No;;;;;No toll objects found
113;50.93678;1.8851;132;;;;;;;No;;;;;No toll objects found
114;50.93665;1.88534;22;;;;;;;No;;;;;No toll objects found
115;50.93653;1.88555;19;;;;;;;No;;;;;No toll objects found
116;50.9365;1.88561;5;;;;;;;No;;;;;No toll objects found
117;50.93633;1.88597;31;;;;;;;No;;;;;No toll objects found
118;50.93631;1.88601;3;;;;;;;No;;;;;No toll objects found
119;50.93626;1.88611;8;;;;;;;No;;;;;No toll objects found
120;50.9362;1.88624;11;;;;;;;No;;;;;No toll objects found
121;50.93618;1.88629;4;;;;;;;No;;;;;No toll objects found
122;50.93615;1.88638;7;;;;;;;No;;;;;No toll objects found
123;50.93612;1.88644;5;;;;;;;No;;;;;No toll objects found
124;50.93597;1.8868;30;;;;;;;No;;;;;No toll objects found
125;50.93587;1.88701;18;;;;;;;No;;;;;No toll objects found
126;50.93509;1.88863;143;;;;;;;No;;;;;No toll objects found
127;50.93503;1.88877;11;;;;;;;No;;;;;No toll objects found
128;50.93499;1.88885;7;;;;;;;No;;;;;No toll objects found
129;50.93466;1.88953;60;;;;;;;No;;;;;No toll objects found
130;50.9345;1.88978;25;;;;;;;No;;;;;No toll objects found
131;50.9344;1.88996;16;;;;;;;No;;;;;No toll objects found
132;50.93433;1.89005;10;;;;;;;No;;;;;No toll objects found
133;50.93426;1.89013;9;;;;;;;No;;;;;No toll objects found
134;50.93422;1.89016;4;;;;;;;No;;;;;No toll objects found
135;50.93419;1.89018;3;;;;;;;No;;;;;No toll objects found
136;50.93416;1.89018;3;;;;;;;No;;;;;No toll objects found
137;50.93412;1.89017;4;;;;;;;No;;;;;No toll objects found
138;50.93412;1.89017;0;;;;;;;No;;;;;No toll objects found
139;50.93408;1.89015;4;;;;;;;No;;;;;No toll objects found
140;50.93404;1.89013;4;;;;;;;No;;;;;No toll objects found
141;50.934;1.89011;4;;;;;;;No;;;;;No toll objects found
142;50.93395;1.8901;5;;;;;;;No;;;;;No toll objects found
143;50.93391;1.8901;4;;;;;;;No;;;;;No toll objects found
144;50.93386;1.8901;5;;;;;;;No;;;;;No toll objects found
145;50.93382;1.89011;4;;;;;;;No;;;;;No toll objects found
146;50.93378;1.89013;4;;;;;;;No;;;;;No toll objects found
147;50.93373;1.89015;5;;;;;;;No;;;;;No toll objects found
148;50.93369;1.89017;4;;;;;;;No;;;;;No toll objects found
149;50.93365;1.89021;5;;;;;;;No;;;;;No toll objects found
150;50.93361;1.89024;4;;;;;;;No;;;;;No toll objects found
151;50.93358;1.89029;4;;;;;;;No;;;;;No toll objects found
152;50.93355;1.89033;4;;;;;;;No;;;;;No toll objects found
153;50.93351;1.89038;5;;;;;;;No;;;;;No toll objects found
154;50.93349;1.89044;4;;;;;;;No;;;;;No toll objects found
155;50.93346;1.8905;5;;;;;;;No;;;;;No toll objects found
156;50.93344;1.89056;4;;;;;;;No;;;;;No toll objects found
157;50.93342;1.89062;4;;;;;;;No;;;;;No toll objects found
158;50.9334;1.89069;5;;;;;;;No;;;;;No toll objects found
159;50.93339;1.89075;4;;;;;;;No;;;;;No toll objects found
160;50.93339;1.89082;4;;;;;;;No;;;;;No toll objects found
161;50.93338;1.89089;5;;;;;;;No;;;;;No toll objects found
162;50.93338;1.89097;5;;;;;;;No;;;;;No toll objects found
163;50.93338;1.89104;4;;;;;;;No;;;;;No toll objects found
164;50.93339;1.89111;5;;;;;;;No;;;;;No toll objects found
165;50.9334;1.89117;4;;;;;;;No;;;;;No toll objects found
166;50.93341;1.89124;5;;;;;;;No;;;;;No toll objects found
167;50.93343;1.89131;5;;;;;;;No;;;;;No toll objects found
168;50.93345;1.89137;4;;;;;;;No;;;;;No toll objects found
169;50.93348;1.89143;5;;;;;;;No;;;;;No toll objects found
170;50.9335;1.89148;4;;;;;;;No;;;;;No toll objects found
171;50.93353;1.89154;5;;;;;;;No;;;;;No toll objects found
172;50.93357;1.89158;5;;;;;;;No;;;;;No toll objects found
173;50.9336;1.89163;4;;;;;;;No;;;;;No toll objects found
174;50.93364;1.89167;5;;;;;;;No;;;;;No toll objects found
175;50.93368;1.8917;4;;;;;;;No;;;;;No toll objects found
176;50.93368;1.8917;0;;;;;;;No;;;;;No toll objects found
177;50.93371;1.89178;6;;;;;;;No;;;;;No toll objects found
178;50.93373;1.89183;4;;;;;;;No;;;;;No toll objects found
179;50.93375;1.89191;6;;;;;;;No;;;;;No toll objects found
180;50.93376;1.89199;5;;;;;;;No;;;;;No toll objects found
181;50.93379;1.8923;22;;;;;;;No;;;;;No toll objects found
182;50.93381;1.89247;12;;;;;;;No;;;;;No toll objects found
183;50.93383;1.89256;6;;;;;;;No;;;;;No toll objects found
184;50.93385;1.89264;6;;;;;;;No;;;;;No toll objects found
185;50.93391;1.89286;16;;;;;;;No;;;;;No toll objects found
186;50.93411;1.89341;44;;;;;;;No;;;;;No toll objects found
187;50.93422;1.89374;26;;;;;;;No;;;;;No toll objects found
188;50.93428;1.89393;14;;;;;;;No;;;;;No toll objects found
189;50.93432;1.8941;12;;;;;;;No;;;;;No toll objects found
190;50.93438;1.89434;18;;;;;;;No;;;;;No toll objects found
191;50.93446;1.89469;26;;;;;;;No;;;;;No toll objects found
192;50.93492;1.89682;158;;;;;;;No;;;;;No toll objects found
193;50.93492;1.89682;0;;;;;;;No;;;;;No toll objects found
194;50.93504;1.8975;49;;;;;;;No;;;;;No toll objects found
195;50.93519;1.89846;69;;;;;;;No;;;;;No toll objects found
196;50.93528;1.89915;49;4133387;motorway_link;na;na;na;DIRN;yes;5016807971;50.9352805;1.8991466;0;
197;50.93528;1.89915;0;4133387;motorway_link;na;na;na;DIRN;yes;5016807971;50.9352805;1.8991466;0;
198;50.93541;1.90035;85;4133387;motorway_link;na;na;na;DIRN;yes;7083263286;50.9354139;1.9003515;0;
199;50.93547;1.90088;37;4133387;motorway_link;na;na;na;DIRN;yes;7083263287;50.9354697;1.9008824;0;
200;50.93551;1.90126;27;4133387;motorway_link;na;na;na;DIRN;yes;7083263288;50.9355078;1.9012632;0;
201;50.93554;1.90159;23;4133387;motorway_link;na;na;na;DIRN;yes;1468535017;50.9355374;1.9015904;0;
202;50.93556;1.90191;22;4133387;motorway_link;na;na;na;DIRN;yes;7083263289;50.9355604;1.9019049;0;
203;50.93558;1.90223;22;4133387;motorway_link;na;na;na;DIRN;yes;301880649;50.9355817;1.9022301;0;
204;50.9356;1.90258;24;4133387;motorway_link;na;na;na;DIRN;yes;1468535038;50.9356019;1.9025808;0;
205;50.93562;1.90292;24;4133387;motorway_link;na;na;na;DIRN;yes;301880531;50.9356175;1.9029181;0;
206;50.93562;1.90317;17;4133387;motorway_link;na;na;na;DIRN;yes;1468535043;50.9356226;1.9031706;0;
207;50.93562;1.90343;18;4133387;motorway_link;na;na;na;DIRN;yes;5016807960;50.9356241;1.9034339;0;
208;50.93562;1.90369;18;4133387;motorway_link;na;na;na;DIRN;yes;7083263290;50.9356175;1.9036861;0;
209;50.9356;1.90395;18;4133387;motorway_link;na;na;na;DIRN;yes;1468535041;50.9356024;1.9039543;0;
210;50.93558;1.90423;19;4133387;motorway_link;na;na;na;DIRN;yes;301875613;50.935581;1.9042252;0;
211;50.93555;1.90449;18;4133387;motorway_link;na;na;na;DIRN;yes;5016807943;50.9355518;1.9044888;0;
212;50.93552;1.90475;18;4133387;motorway_link;na;na;na;DIRN;yes;1468535051;50.935516;1.9047458;0;
213;50.93548;1.90497;16;4133387;motorway_link;na;na;na;DIRN;yes;7083263291;50.9354771;1.9049718;0;
214;50.93543;1.90519;16;4133387;motorway_link;na;na;na;DIRN;yes;22960831;50.9354331;1.9051897;0;
215;50.93537;1.90547;20;4133387;motorway_link;na;na;na;DIRN;yes;1468534998;50.9353683;1.9054731;0;
216;50.93531;1.9057;17;4133387;motorway_link;na;na;na;DIRN;yes;7083263292;50.93531;1.9057041;0;
217;50.93525;1.90592;16;4133387;motorway_link;na;na;na;DIRN;yes;7083263293;50.935247;1.9059189;0;
218;50.93519;1.90611;14;4133387;motorway_link;na;na;na;DIRN;yes;1468535010;50.9351858;1.9061122;0;
219;50.93511;1.90633;17;4133387;motorway_link;na;na;na;DIRN;yes;301875927;50.9351073;1.9063285;0;
220;50.935;1.90662;23;4133387;motorway_link;na;na;na;DIRN;yes;1468535036;50.9349964;1.9066203;0;
221;50.9349;1.90684;19;4133387;motorway_link;na;na;na;DIRN;yes;7083263294;50.9349037;1.9068349;0;
222;50.93481;1.90702;16;4133387;motorway_link;na;na;na;DIRN;yes;22960828;50.9348126;1.9070227;0;
223;50.93471;1.90722;17;4133387;motorway_link;na;na;na;DIRN;yes;7083263295;50.9347056;1.9072242;0;
